marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Bonus/Malus,Rejet,Cout Energie
audi,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,-2400,26,191
audi,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,-2400,26,191
audi,A2 1.4,75,courte,5,5,noir,true,12817,-2400,26,191
audi,A2 1.4,75,courte,5,5,bleu,false,18310,-2400,26,191
audi,A2 1.4,75,courte,5,5,gris,false,18310,-2400,26,191
audi,A2 1.4,75,courte,5,5,bleu,true,12817,-2400,26,191
audi,A2 1.4,75,courte,5,5,gris,true,12817,-2400,26,191
audi,A2 1.4,75,courte,5,5,noir,false,18310,-2400,26,191
audi,A2 1.4,75,courte,5,5,rouge,false,18310,-2400,26,191
audi,A2 1.4,75,courte,5,5,blanc,true,12817,-2400,26,191
audi,A2 1.4,75,courte,5,5,rouge,true,12817,-2400,26,191
audi,A2 1.4,75,courte,5,5,blanc,false,18310,-2400,26,191
bmw,M5,507,très longue,5,5,bleu,true,66360,-631,39,80
bmw,M5,507,très longue,5,5,gris,false,94800,-631,39,80
bmw,M5,507,très longue,5,5,blanc,false,94800,-631,39,80
bmw,M5,507,très longue,5,5,noir,false,94800,-631,39,80
bmw,M5,507,très longue,5,5,rouge,true,66360,-631,39,80
bmw,M5,507,très longue,5,5,blanc,true,66360,-631,39,80
bmw,M5,507,très longue,5,5,bleu,false,94800,-631,39,80
bmw,M5,507,très longue,5,5,gris,true,66360,-631,39,80
bmw,M5,507,très longue,5,5,rouge,false,94800,-631,39,80
bmw,M5,507,très longue,5,5,noir,true,66360,-631,39,80
bmw,120i,150,moyenne,5,5,rouge,true,25060,-631,39,80
bmw,120i,150,moyenne,5,5,bleu,false,35800,-631,39,80
bmw,120i,150,moyenne,5,5,blanc,false,35800,-631,39,80
bmw,120i,150,moyenne,5,5,gris,false,35800,-631,39,80
bmw,120i,150,moyenne,5,5,rouge,false,35800,-631,39,80
bmw,120i,150,moyenne,5,5,bleu,true,25060,-631,39,80
bmw,120i,150,moyenne,5,5,gris,true,25060,-631,39,80
bmw,120i,150,moyenne,5,5,noir,true,25060,-631,39,80
bmw,120i,150,moyenne,5,5,blanc,true,25060,-631,39,80
bmw,120i,150,moyenne,5,5,noir,false,35800,-631,39,80
dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500,0,0,0
dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500,0,0,0
dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500,0,0,0
dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500,0,0,0
dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500,0,0,0
daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850,0,0,0
daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850,0,0,0
daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850,0,0,0
daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850,0,0,0
daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850,0,0,0
fiat,Croma 2.2,147,longue,5,5,gris,true,17346,0,0,0
fiat,Croma 2.2,147,longue,5,5,rouge,false,24780,0,0,0
fiat,Croma 2.2,147,longue,5,5,bleu,false,24780,0,0,0
fiat,Croma 2.2,147,longue,5,5,noir,true,17346,0,0,0
fiat,Croma 2.2,147,longue,5,5,blanc,false,24780,0,0,0
fiat,Croma 2.2,147,longue,5,5,blanc,true,17346,0,0,0
fiat,Croma 2.2,147,longue,5,5,bleu,true,17346,0,0,0
fiat,Croma 2.2,147,longue,5,5,rouge,true,17346,0,0,0
fiat,Croma 2.2,147,longue,5,5,noir,false,24780,0,0,0
fiat,Croma 2.2,147,longue,5,5,gris,false,24780,0,0,0
ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730,0,0,0
ford,Mondeo 1.8,125,longue,5,5,gris,true,16730,0,0,0
ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730,0,0,0
ford,Mondeo 1.8,125,longue,5,5,noir,true,16730,0,0,0
ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730,0,0,0
ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900,0,0,0
ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900,0,0,0
ford,Mondeo 1.8,125,longue,5,5,noir,false,23900,0,0,0
ford,Mondeo 1.8,125,longue,5,5,gris,false,23900,0,0,0
ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900,0,0,0
honda,FR-V 1.7,125,longue,7,5,noir,false,19550,0,0,0
honda,FR-V 1.7,125,longue,7,5,bleu,false,19550,0,0,0
honda,FR-V 1.7,125,longue,7,5,gris,false,19550,0,0,0
honda,FR-V 1.7,125,longue,7,5,blanc,false,19550,0,0,0
honda,FR-V 1.7,125,longue,7,5,rouge,false,19550,0,0,0
hyundaï,Matrix 1.6,103,longue,7,5,bleu,false,15960,0,0,0
hyundaï,Matrix 1.6,103,longue,7,5,blanc,false,15960,0,0,0
hyundaï,Matrix 1.6,103,longue,7,5,gris,false,15960,0,0,0
hyundaï,Matrix 1.6,103,longue,7,5,noir,false,15960,0,0,0
hyundaï,Matrix 1.6,103,longue,7,5,rouge,false,15960,0,0,0
jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100,-6000,0,271
jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100,-6000,0,271
kia,Picanto 1.1,65,courte,5,5,blanc,false,8990,-3000,15,132
kia,Picanto 1.1,65,courte,5,5,gris,false,8990,-3000,15,132
kia,Picanto 1.1,65,courte,5,5,noir,false,8990,-3000,15,132
kia,Picanto 1.1,65,courte,5,5,rouge,false,8990,-3000,15,132
kia,Picanto 1.1,65,courte,5,5,bleu,false,8990,-3000,15,132
lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,false,13500,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,true,9450,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,true,9450,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,true,9450,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,true,9450,0,0,0
lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450,0,0,0
mercedes,S500,306,très longue,5,5,gris,true,70910,7790,187,749
mercedes,S500,306,très longue,5,5,noir,false,101300,7790,187,749
mercedes,S500,306,très longue,5,5,bleu,false,101300,7790,187,749
mercedes,S500,306,très longue,5,5,noir,true,70910,7790,187,749
mercedes,S500,306,très longue,5,5,bleu,true,70910,7790,187,749
mercedes,S500,306,très longue,5,5,rouge,true,70910,7790,187,749
mercedes,S500,306,très longue,5,5,blanc,true,70910,7790,187,749
mercedes,A200,136,moyenne,5,5,gris,true,18130,7790,187,749
mercedes,A200,136,moyenne,5,5,gris,false,25900,7790,187,749
mercedes,A200,136,moyenne,5,5,bleu,false,25900,7790,187,749
mercedes,S500,306,très longue,5,5,blanc,false,101300,7790,187,749
mercedes,S500,306,très longue,5,5,rouge,false,101300,7790,187,749
mercedes,S500,306,très longue,5,5,gris,false,101300,7790,187,749
mercedes,A200,136,moyenne,5,5,blanc,false,25900,7790,187,749
mercedes,A200,136,moyenne,5,5,noir,false,25900,7790,187,749
mercedes,A200,136,moyenne,5,5,blanc,true,18130,7790,187,749
mercedes,A200,136,moyenne,5,5,rouge,true,18130,7790,187,749
mercedes,A200,136,moyenne,5,5,noir,true,18130,7790,187,749
mercedes,A200,136,moyenne,5,5,rouge,false,25900,7790,187,749
mercedes,A200,136,moyenne,5,5,bleu,true,18130,7790,187,749
mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740,-3000,21,126
mini,Copper 1.6 16V,115,courte,5,5,rouge,true,12740,-3000,21,126
mini,Copper 1.6 16V,115,courte,5,5,noir,true,12740,-3000,21,126
mini,Copper 1.6 16V,115,courte,5,5,gris,true,12740,-3000,21,126
